;code;nom;Description;unité;Emballage;Dévise;P. Revient en devise;price;Prix de Vente;Genre;Marque;Fournisseur
;3700135016132; FREDERIC MALLE ROSE CUIR EDP 100ML;;PCE;;$US;0,00;375;1 106 250,00;MIXTE            ;FREDERIC MALLE;
;3700550218777; KILIAN VOULEZ VOUS COUCHER AVEC MOI COFFRET;;PCE;;$US;0,00;385;1 135 750,00;MIXTE            ;KILIAN;
;8033488156480; WARDASINA EDP 100ML;;PCE;;$US;0,00;445;1 312 750,00;MIXTE            ;#N/A;
;3349668623730    ;1 MILLION EDT COFF 3 50 ML     ;;PCE;;$US;0,00;125;368 750,00;HOMME            ;;
;3349668600304    ;1MILLION ELIXIR PARF INT 100ML ;;PCE;;$US;0,00;205;604 750,00;HOMME            ;;
;3349668579839    ;1MILLION PARFUM 100ML          ;;PCE;;$US;0,00;200;590 000,00;HOMME            ;;
;3349668617050    ;1MILLION ROYAL PARF 100ML      ;;PCE;;$US;0,00;207;610 650,00;HOMME            ;;
;20120873999998   ;20120873999998;;PCE;;$US;0,00;40;118 000,00;FEMME            ;;
;8411061711767    ;212 ARE YOU ON EDP 80ML        ;;PCE;;$US;0,00;167;492 650,00;FEMME            ;;
;3346131610204    ;24 FAUBOURG 100ML              ;;PCE;;$US;0,00;209;616 550,00;FEMME            ;;
;3346131610198    ;24 FAUBOURG 50ML               ;;PCE;;$US;0,00;181;533 950,00;FEMME            ;;
;3346130011071    ;24 FAUBOURG EDP 100ML 2        ;;PCE;;$US;0,00;209;616 550,00;FEMME            ;;
;3346131610068    ;24 FAUBOURG EDT 100ML          ;;PCE;;$US;0,00;209;616 550,00;FEMME            ;;
;3346131610051    ;24 FAUBOURG EDT 50ML           ;;PCE;;$US;0,00;157;463 150,00;FEMME            ;;
;3760168592140;500 YEARS EDP 100 ML;;PCE;;$US;0,00;300;885 000,00;MIXTE            ;ETAT LIBRE D'ORANGE;
;20210537999997   ;800 BLACK EDT MAN              ;;PCE;;$US;0,00;30;88 500,00;HOMME            ;;
;3760048795340    ;A LA FOLIE 100ML               ;;PCE;;$US;143,00;150;442 500,00;FEMME            ;;
;3760048795326    ;A LA FOLIE 30ML                ;;PCE;;$US;0,00;105;309 750,00;FEMME            ;;
;3760048795333    ;A LA FOLIE 50ML                ;;PCE;;$US;0,00;125;368 750,00;FEMME            ;;
;3760048797078    ;A LA FOLIE COF EDP 100ML       ;;PCE;;$US;150,00;165;486 750,00;FEMME            ;;
;3700559612255    ;A LA ROSE EDP                  ;;PCE;;$US;0,00;280;826 000,00;FEMME            ;;
;3700559602188;A LA ROSE EDP 70ML             ;;PCE;;$US;0,00;280;826 000,00;FEMME            ;;
;3700559603369    ;A LA ROSE GEL DOUCHE 250ML     ;;PCE;;$US;0,00;120;354 000,00;FEMME            ;;
;3439600604511    ;A MEN 100ML                    ;;PCE;;$US;0,00;148;436 600,00;HOMME            ;;
;7340032806229    ;ACCORD OUD EDP 100ML           ;;PCE;;$US;0,00;300;885 000,00;MIXTE            ;;
;3614271992932    ;ACQUA DI GIO ABSOLU 125ML      ;;PCE;;$US;0,00;205;604 750,00;HOMME            ;;
;3614271992901    ;ACQUA DI GIO ABSOLU 75ML       ;;PCE;;$US;139,00;155;457 250,00;HOMME            ;;
;3614272765368    ;ACQUA DI GIO ABSOLU EDP COF 75 ;;PCE;;$US;0,00;165;486 750,00;HOMME            ;;
;3614273662420    ;ACQUA DI GIO EDP 125 ML        ;;PCE;;$US;0,00;205;604 750,00;HOMME            ;;
;3614273375856    ;ACQUA DI GIO EDP 75            ;;PCE;;$US;0,00;175;516 250,00;HOMME            ;;
;3614273989565    ;ACQUA DI GIO EDT COFF 100 ML   ;;PCE;;$US;0,00;180;531 000,00;HOMME            ;;
